index	dominant_topic_no	topic_contribution_percentage	topic_keyword	id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username
32	6.0	0.0939	family, put, good, stand, kid, life, hear, happen, colleague, senator	1131535372150878208	8288		https://twitter.com/SenWarren/status/1131535372150878208	3023	1558614000	Steven Mnuchin and his college roommate Eddie Lampert (the CEO of Sears) piled the company with debt, closed thousands of stores, and enriched themselves at the expense of workers. Now,  @StevenMnuchin1 could have a say in decisions affecting  @Sears.	[]	['StevenMnuchin1', 'Sears']	pic.twitter.com/042ENythbO	SenWarren
33	11.0	0.1005	realdonaldtrump, law, wellsfargo, president, investigation, fire, show, justice, accountability, charge	1131534446044352513	55840		https://twitter.com/SenWarren/status/1131534446044352513	18138	1558613760	Before  @StevenMnuchin1 became Treasury Secretary, he was on the board of  @Sears, where he helped gut the company and fire thousands of employees. Now,  @AOC and I have some tough questions for him.	[]	['StevenMnuchin1', 'Sears', 'AOC']	pic.twitter.com/hS25rPOsYa	SenWarren
34	8.0	0.1337	watch, woman, day, join, speak, talk, glad, head, senate_floor, boston	1131285276020662272	3740	https://www.nytimes.com/2019/04/01/us/politics/nra-domestic-violence-congress.html?module=inline	https://twitter.com/SenWarren/status/1131285276020662272	1325	1558554360	It's been 48 days since the Violence Against Women Act passed the House. But  @SenateMajLdr McConnell would rather help his  @NRA buddies than bring  #VAWA to the floor. This is ridiculous. Women's lives are more important than gun lobbyists' wish lists. ...	['VAWA']	['SenateMajLdr', 'NRA']		SenWarren
35	7.0	0.1797	time, support, stop, end, policy, year, step, realdonaldtrump, thousand, child	1131258667783905280	2396	https://www.cnn.com/2019/05/22/politics/warren-requests-information-on-child-migrant-deaths/index.html	https://twitter.com/SenWarren/status/1131258667783905280	581	1558548000	In December I called for  @DHSOIG to investigate these deaths at the border, and that review is underway. But we need answers now: why are children dying after being taken into  @CBP custody and what steps is CBP taking to end this string of tragedies? ...	[]	['DHSOIG', 'CBP']		SenWarren
36	12.0	0.152	interest, week, military, lead, action, gov, office, ensure, conflict, clear	1131258666655657984	4257	https://www.cnn.com/2019/05/01/health/migrant-children-deaths-in-custody/index.html	https://twitter.com/SenWarren/status/1131258666655657984	1866	1558548000	Two more immigrant children died over the past week after having been in  @CBP custody. That’s five deaths in the past six months. It’s appalling. CBP owes the American people an explanation for these children’s deaths and its failure to keep them safe. ...	[]	['CBP']		SenWarren
37	7.0	0.1823	time, support, stop, end, policy, year, step, realdonaldtrump, thousand, child	1130958418041331712	5105	https://www.huffpost.com/entry/iran-trump-congress-bolton-war_n_5cdb3186e4b0b539220310bc	https://twitter.com/SenWarren/status/1130958418041331712	1069	1558476420	Not on my watch. I’m cosponsoring legislation to stop us from going to war with Iran. Congress must use its constitutional authority to stop  @realDonaldTrump from dragging us into another forever war. ...	[]	['realDonaldTrump']		SenWarren
38	7.0	0.1659	time, support, stop, end, policy, year, step, realdonaldtrump, thousand, child	1130958373741039616	7471		https://twitter.com/SenWarren/status/1130958373741039616	1754	1558476420	Americans are tired of reckless and endless wars. We saw what the disastrous Iraq War did. Thousands of servicemembers dead and wounded. America's reputation damaged abroad. Now  @realDonaldTrump’s advisors are pushing Shock and Awe 2.0 – this time against Iran.	[]	['realDonaldTrump']		SenWarren
39	0.0	0.0753	company, protect, cfpb, hold, accountable, consumer, equifax, agency, force, report	1130926504249110528	52085	https://twitter.com/RepKatiePorter/status/1130889201455685633	https://twitter.com/SenWarren/status/1130926504249110528	11469	1558468860	.  @SecretaryCarson can’t distinguish between a cookie and a home that’s been foreclosed on. Luckily,  @RepKatiePorter was able to school him on the difference. ...	[]	['SecretaryCarson', 'RepKatiePorter']		SenWarren
40	1.0	0.1448	vote, senategop, health_care, million, gop, court, trump, nominee, spend, access	1130889212344098817	1172	https://www.prochoiceamerica.org/laws-policy/trumps-anti-choice-judicial-nominees/	https://twitter.com/SenWarren/status/1130889212344098817	298	1558459920	Republican state legislators are already stripping away women's constitutional rights. And  @realDonaldTrump &  @SenateGOP are making their jobs easier by appointing judges who could overturn Roe v. Wade. I'll be voting no on every one of these guys. ...	[]	['realDonaldTrump', 'SenateGOP']		SenWarren
41	13.0	0.1444	student, federal, call, student_loan, debt, profit, bad, usedgov, school, college	1130889209840099328	773		https://twitter.com/SenWarren/status/1130889209840099328	217	1558459920	"Kenneth Bell once argued the indefensibility of the abortion rights position,"" claiming there was ""no middle ground."" Thanks to the  @SenateGOP, he could wind up on the federal bench in North Carolina, where legislators have already considered an anti-abortion bill this year."""	[]	['SenateGOP']		SenWarren
42	1.0	0.1746	vote, senategop, health_care, million, gop, court, trump, nominee, spend, access	1130889207914881026	275		https://twitter.com/SenWarren/status/1130889207914881026	103	1558459920	Carl Nichols,  @realDonaldTrump's nominee to be a Judge in the District of Washington DC, argued that pharmacists should be able to deny patients access to emergency contraceptives (which they're required by law to provide) because of religious objections.	[]	['realDonaldTrump']		SenWarren
43	13.0	0.1221	student, federal, call, student_loan, debt, profit, bad, usedgov, school, college	1130889205972905984	287	https://civilrights.org/resource/oppose-the-confirmation-of-stephen-clark-to-the-u-s-district-court-for-the-eastern-district-of-missouri/#_ftn5	https://twitter.com/SenWarren/status/1130889205972905984	118	1558459920	It gets worse. Stephen Clark sponsored an ad calling Roe v. Wade “BAD LAW” & comparing it to Dred Scott, a heinous Supreme Court decision that deprived Black Americans of their constitutional rights. No wonder Republicans want him on the federal bench. ...	[]	[]		SenWarren
44	1.0	0.1841	vote, senategop, health_care, million, gop, court, trump, nominee, spend, access	1130889203661910018	325	https://www.cnn.com/2016/06/27/politics/supreme-court-abortion-texas/index.html	https://twitter.com/SenWarren/status/1130889203661910018	125	1558459920	Howard Nielson, nominee to be a Judge for the District of Utah, defended a highly restrictive Texas law that would have prevented countless women from accessing abortions. The Supreme Court disagreed and ultimately struck it down. ...	[]	[]		SenWarren
45	1.0	0.138	vote, senategop, health_care, million, gop, court, trump, nominee, spend, access	1130889201665400834	250	https://afj.org/our-work/nominees/daniel-collins	https://twitter.com/SenWarren/status/1130889201665400834	111	1558459920	Daniel Collins argued in a brief submitted in the Hobby Lobby case that companies should be able to deny contraceptive coverage to employees. Now  @SenateGOP and  @realDonaldTrump want him on the Ninth Circuit. ...	[]	['SenateGOP', 'realDonaldTrump']		SenWarren
46	1.0	0.1877	vote, senategop, health_care, million, gop, court, trump, nominee, spend, access	1130889199949889536	3671		https://twitter.com/SenWarren/status/1130889199949889536	1136	1558459920	Last week, Alabama passed an extreme abortion ban in a thinly veiled attempt to overturn Roe v. Wade. This week,  @SenateGOP is trying to shove through 5 judges who have spent their careers undermining women's reproductive rights. This is a full-scale attack on women's health.	[]	['SenateGOP']		SenWarren
47	8.0	0.1369	watch, woman, day, join, speak, talk, glad, head, senate_floor, boston	1130864643063328768	53658		https://twitter.com/SenWarren/status/1130864643063328768	9207	1558454100	It’s been over 24 hours. No more spoiler alerts. Here’s why  @AOC and I are officially on  #TeamSansa now.	['TeamSansa']	['AOC']	pic.twitter.com/WKKHDbFz1M	SenWarren
48	9.0	0.1659	public, health, state, cut, community, care, federal, service, provide, fund	1130821919199117313	4986	https://www.bostonglobe.com/opinion/2019/05/20/getting-people-behavioral-health-care-they-need/bRfJ3OxmoSDSJSnDAmFRpO/story.html	https://twitter.com/SenWarren/status/1130821919199117313	1266	1558443900	Patients with mental health & substance use disorders deserve the same access to care as patients with physical health conditions, but insurance companies deny these services to cut costs.  @RepJoeKennedy & I have a plan so people get the care they need. ...	[]	['RepJoeKennedy']		SenWarren
