index	dominant_topic_no	topic_contribution_percentage	topic_keyword	id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username
638	13.0	0.0949	vote, time, election, county, democratic, smart, call, sunday, june, party	218138614037610496	0	http://bit.ly/MpuGSC	https://twitter.com/KamalaHarris/status/218138614037610496	6	1340843220	CA homeowners:  #CAleg will be voting on the  #HomeownerBillofRights soon - How would it help your family? 	['CAleg', 'HomeownerBillofRights']	[]		KamalaHarris
639	1.0	0.09	family, hope, healthcare, office, jerrybrowngov, birthday, long, mortgage, company, drug	218061080772096000	1	http://bit.ly/NNLaHw	https://twitter.com/KamalaHarris/status/218061080772096000	2	1340824740	Key  #HomeownerBillofRights leg. passes committee   Floor vote next - how your family could benefit: 	['HomeownerBillofRights']	[]		KamalaHarris
640	5.0	0.0909	ca, truancy, talk, child, school, homeowner_bill, reduce, crisis, foreclosure, read	217389767468392449	1	http://fb.me/2ccPlSJnc	https://twitter.com/KamalaHarris/status/217389767468392449	6	1340664720	How would your family benefit from the CA Homeowner Bill of Rights? Find out here: 	[]	[]		KamalaHarris
641	1.0	0.0818	family, hope, healthcare, office, jerrybrowngov, birthday, long, mortgage, company, drug	217381832507932672	1	http://bit.ly/MpuGSC	https://twitter.com/KamalaHarris/status/217381832507932672	9	1340662800	See how 6 families would benefit from the CA  #HomeownerBillofRights 	['HomeownerBillofRights']	[]		KamalaHarris
642	0.0	0.0952	prop, justice, equality, marriage, ca, deny, sex, student, scotus, gay	217370709805109250	1	http://fb.me/20rghDgyM	https://twitter.com/KamalaHarris/status/217370709805109250	6	1340660160	I am pleased with the U.S. Supreme Court’s decision, which strikes down some of the most egregious components of... 	[]	[]		KamalaHarris
643	2.0	0.0977	president, important, barackobama, obama, campaign, american, sign, endorse, good, deserve	217370507333468162	0	http://fb.me/1UNlc1vve	https://twitter.com/KamalaHarris/status/217370507333468162	6	1340660100	Consumers deserve to be able to make informed choices about how much personal information they want to share with...	[]	[]		KamalaHarris
644	11.0	0.0916	california, protect, consumer, officer, bill, privacy, service, forget, loss, protection	215477864458498048	0	http://fb.me/1XHNkVkAR	https://twitter.com/KamalaHarris/status/215477864458498048	4	1340208900	Human trafficking crimes involving minors are reprehensible and convicted perpetrators should not be able to keep... 	[]	[]		KamalaHarris
645	2.0	0.0904	president, important, barackobama, obama, campaign, american, sign, endorse, good, deserve	215477735756275713	0	http://fb.me/2492EFnLJ	https://twitter.com/KamalaHarris/status/215477735756275713	2	1340208840	Scammers continue to prey on vulnerable Californians who simply want to stay in their homes. This legislation... 	[]	[]		KamalaHarris
646	7.0	0.113	happy, friend, year, california, celebrate, conference, country, serve, benefit, love	215131497588469760	0	http://fb.me/1MubTWlmq	https://twitter.com/KamalaHarris/status/215131497588469760	12	1340126280	Thousands of people are sold around the world, and trafficked into our country, every year for commercial sexual...	[]	[]		KamalaHarris
647	3.0	0.0936	law, tune, receive, equal, pay, website, large, include, lose, askkamala	215131135594868736	0	http://fb.me/1iD8FajJ4	https://twitter.com/KamalaHarris/status/215131135594868736	3	1340126220	Technology benefits consumers, but also opens them up to risks that law enforcement must respond to. ATM... 	[]	[]		KamalaHarris
