index	dominant_topic_no	topic_contribution_percentage	topic_keyword	id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username
5902	8.0	0.145	american, day, honor, world, family, national, wonderful, whitehouse, meet, life	872084870620520448	61510		https://twitter.com/realDonaldTrump/status/872084870620520448	22066	1496756160	So good to see the Saudi Arabia visit with the King and 50 countries already paying off. They said they would take a hard line on funding...	[]	[]		realDonaldTrump
5903	0.0	0.1907	fake_news, bad, medium, time, story, call, report, show, news, white_house	872064426568036353	96852		https://twitter.com/realDonaldTrump/status/872064426568036353	23033	1496751300	Sorry folks, but if I would have relied on the Fake News of CNN, NBC, ABC, CBS, washpost or nytimes, I would have had ZERO chance winning WH	[]	[]		realDonaldTrump
5904	7.0	0.1457	vote, crime, military, strong, love, run, support, fight, congress, senator	872062159789985792	70592		https://twitter.com/realDonaldTrump/status/872062159789985792	35810	1496750760	During my recent trip to the Middle East I stated that there can no longer be funding of Radical Ideology. Leaders pointed to Qatar - look!	[]	[]		realDonaldTrump
5905	0.0	0.1601	fake_news, bad, medium, time, story, call, report, show, news, white_house	872059997429022722	101859		https://twitter.com/realDonaldTrump/status/872059997429022722	24456	1496750280	The FAKE MSM is working so hard trying to get me not to use Social Media. They hate that I can get the honest and unfiltered message out.	[]	[]		realDonaldTrump
5906	2.0	0.1398	big, state, win, happen, give, congratulation, republican, maga, leave, governor	872043300949295104	65660		https://twitter.com/realDonaldTrump/status/872043300949295104	11483	1496746260	Big meeting today with Republican leadership concerning Tax Cuts and Healthcare. We are all pushing hard - must get it right!	[]	[]		realDonaldTrump
5907	5.0	0.1468	democrat, country, border, wall, security, dem, stop, senate, end, build	871899511525961728	109713		https://twitter.com/realDonaldTrump/status/871899511525961728	27821	1496712000	That's right, we need a TRAVEL BAN for certain DANGEROUS countries, not some politically correct term that won't help us protect our people!	[]	[]		realDonaldTrump
5908	8.0	0.1722	american, day, honor, world, family, national, wonderful, whitehouse, meet, life	871840367070412800	54447	http://45.wh.gov/pmRJsy	https://twitter.com/realDonaldTrump/status/871840367070412800	11406	1496697900	Today, I announced an Air Traffic Control Initiative to take American air travel into the future - finally!  	[]	[]	pic.twitter.com/CtfqTxF2fp	realDonaldTrump
5909	2.0	0.1789	big, state, win, happen, give, congratulation, republican, maga, leave, governor	871830255396192256	39582	http://45.wh.gov/tnGqdu	https://twitter.com/realDonaldTrump/status/871830255396192256	8592	1496695500	.  @SecShulkin's decision is one of the biggest wins for our VETERANS in decades. Our HEROES deserve the best!  	[]	['SecShulkin']	pic.twitter.com/yuIg5na5KQ	realDonaldTrump
5910	6.0	0.1493	make, back, deal, china, country, pay, trade, north_korea, talk, meeting	871725780535062528	85162		https://twitter.com/realDonaldTrump/status/871725780535062528	25159	1496670540	"Pathetic excuse by London Mayor Sadiq Khan who had to think fast on his no reason to be alarmed"" statement. MSM is working hard to sell it!"""	[]	[]		realDonaldTrump
5911	5.0	0.1648	democrat, country, border, wall, security, dem, stop, senate, end, build	871722020278587393	72717		https://twitter.com/realDonaldTrump/status/871722020278587393	18770	1496669700	.  @foxandfriends Dems are taking forever to approve my people, including Ambassadors. They are nothing but OBSTRUCTIONISTS! Want approvals.	[]	['foxandfriends']		realDonaldTrump
5912	4.0	0.1437	russia, collusion, fbi, campaign, witch_hunt, election, obama, total, russian, fire	871679061847879682	81285		https://twitter.com/realDonaldTrump/status/871679061847879682	17722	1496659440	In any event we are EXTREME VETTING people coming into the U.S. in order to help keep our country safe. The courts are slow and political!	[]	[]		realDonaldTrump
5913	0.0	0.1379	fake_news, bad, medium, time, story, call, report, show, news, white_house	871677472202477568	59850		https://twitter.com/realDonaldTrump/status/871677472202477568	13170	1496659020	The Justice Dept. should ask for an expedited hearing of the watered down Travel Ban before the Supreme Court - & seek much tougher version!	[]	[]		realDonaldTrump
